Shankar Madhavan,Der Lagi Lekin
Vishaal Dhadhlani,Ik Junoon
Farhaan Akhtar,Dil Aakhir Tu Kyun Rota Hai
Mohit chauhan,Khwaabon Ke PArindey
Farhaan Akhtar,Ye Jaane Kaisa Raaz Hai
Farhan Akhtar,Aisi Gehraiyaan Aisi Tanhaiyaan
Dominique Cerejo,Sooraj Ki Bahoon Mein
Farhaan Akhtar,Apne Hone Par Mujhko Yaqeen Aa Gaya
Arijit Singh,Judaai
Shreya Ghoshal,Saibo
Sachin Sanghvi,Rangreza
Rekha Bhardwaj,Mileya Mileya
Arijit Singh,Meet
Amitabh Bhattacharya,Emosaonal Atyachar -  Brass Band
Tochi Raina,Pardesi
Aman,Khwab (P.N.D.A's remix)
Aman,Abh Mera Kaha Thikana
Aman,Tu Hai Kahaan
Aman,Bombay aur Baarish
Aman,Dil Ko Kaise Samjhau
Raghubir Yadav,Mehngai Dayain Khaye Jaat Hai
Ram Sampath,Saawan Aayo Re
Manna Dey,Coffee houser sei addata
Manna Dey,Laga Chunari Men Daag
Manna Dey,Hoyto Tomar-e Jonyo
L Subramaniam,Harmony of the Hearts
L Subramanium,Flight of the Humble Bee
L Subramanium,I Can't Forget
L Subramanium,Whispering Moods
Udit Narayan,Jane Kyun Log
Shreya Ghoshal,Bairi Piya
Udit Narayan,Chalak Chalak
Udit Narayan,Man Mohini
Sona Mohapatra,Ambarsariya
Kailash Kher,Karle Jugaad Karle
Sitar Metal,True Darkness
Sitar Metal,False Light
Sitar Metal,The Awakening Is Here
Shri,Swarg
RamageProductions,Line 6 Sitar Test
Sitar Metal,We Will Never Exist
Sitar Metal,I Am the Wake up Call
Sitar METAL,Dreamers We Never Learn
Sitar Metal,Beyond Me Beyond You
Estrn Chill,Shish Sitar Beat
Srikanto Acharya,Bristi Tomake Dilam
Srikanto Acharya,Bodhua Amar chokhe Jol eneche
Kat Cunning,Make U Say
Kat Cunning,Wild Poppies
Kat Cunning,King of Shadow
Kat Cunning,Birds
Himesh Reshanmiya,Jhalak Dikhla Ja
Himesh Reshammiya,Aashiqui Mein Teri
Himesh Reshammiya,Aye Meri Zohrajabeen
Zack Hemsey,See What I've Become
Zack Hemsey,Vengeance
Zack Hemsey,I'll Find A Way
Zack Hemsey,The Way (Instrumental)
Zack Hemsey,Nice To Meet Me
Zack Hemsey,Soothsayer
Lorde,Yellow Flicker Beat
Lorde,Royals
Lorde,Buzzcut Season
Lorde,Perfect Places
Lorde,Sober
Rabbi Shergil,Bulla Ki Jaana Main Kaun
Rabbi Shergil,Taläsh
Rabbi Shergill,Challa Reprise
Ajoy Chokroborty,Badra Re Tu
Ajoy Chakraborthy,Aan Milo Sajna
Ajoy Chokroborty,Khelun Piya Sang Hori
Ajoy Chakraborty,Eri Aali Piya Bin - Raag Yaman
The National,Nobody Else Will Be There
The National,Graceless
Sufjan Stevens,All For Myself
Sufjan Stevens,Age of Adz
Sufjan Stevens,Bad Communication
Sufjan Stevens,Impossible Soul
Sufjan Stevens,Futile Devices
Sufjan Stevens,Vesuvius
Sufjan Stevens,Too Much
The Black Eyed Peas,London Bridge
The Black Eyed Peas,Fergalicious
The Black Eyed Peas,Shut Up
Marco Cirillo,When You Just Discovered An Awesome Chord and Someone Ask You to Play Something
Marco Cirillo,When You Listen to Worship Music for Too Long
Marco Cirillo,When You Feel Sad And Someone Ask You To Play Something
Marco Cirillo,When You Fall in Love and Someone Ask You To Play Something
Marco Cirillo,When You Play Acoustic Stuff on A Classical Guitar
Marco Cirillo,When You Only Know Four Chords and Someone Ask You To Play Something
Marco Cirillo,When You Always Play Acoustic Guitar But You Secretly Love Electric! (Dirty Secret)
Fleetwood Mac,The Chain
Fleetwood Mac,Big Love
AR,Man Mauj Mein - Part 1
AR,Sunset Malkauns
AR,Floating Circles
AR,End Title
AR,Rainmaker
AR,Man Mauj Mein - Part 2
AR,Wakeup Jungle
AR,Opening Title
Sunidhi Chauhan,Jab Bhi Ciggaret - Trance
Sukhwinder Singh,Phoonk De
Sukhwinder Singh,Kash Laga
Deva Sengupta,Ash Tray
Rekha Bhardwaj,Phoonk De - Club Mix
Shilpa Rao,Yaara Seeli Seeli
Shilpa Rao,Duma Dum
Shilpa Rao,Challa
Shilpa Rao,Ankhiyan Udeek
Shilpa Rao,Aaye Na Balam
Shilpa rao,Kaise ho Tum
Shilpa Rao,Shaabashiyan
Shilpa Rao,Latha
Shilpa Rao,Ankhiyan Nu
Shilpa Rao,Manmarziyan
Manoj Tiwari,Jiya Tu Bihar Ke Lala
Khushboo Raaj,O Womaniya
Of Monsters And Men,Love Love Love
Of Monsters and Men,King And Lionheart
Indian Ocean,Mann Kasturi
Indian Ocean,Zindagi Se Darte Ho
Indian Ocean,Tu Kisi Rail Si
Indian Ocean,Bandheh
Kishori Amonkar,Milta Jaiyo - Keharwa
Kishori Amonkar,Saheliya Sajan Ghar Aye - Raga Durga: Teentaal
Kishori Amonkar,Ek Hi Sang Hute
ProgTabla,Woven Web (Tabla Experiment)
ProgTabla,When Time Stands Still (Tabla Experiment)
ProgTabla,Fall of Sirius (Tabla Experiment)
Bhrigu Sahni,Opening
Bhrigu Sahni,Flow Live Set (Demo Tape)
Bhrigu Sahni,Momentary Present
Bhrigu Sahni,Tanpura Jam Series
Bhrigu Sahni,Tribute
Bhrigu Sahni,Time To Fall @ Sofar Delhi NCR
Bhrigu Sahni,Indian Classical Aligarh Theme
Bhrigu Sahni,I'm Leaving
Bhrigu Sahni,Tanpura Jam Series
Bhrigu Sahni,Traveling
Gabrielle Aplin,Start of Time
Gabrielle Aplin,My Mistake
Jagjit Singh,Hosh Walon Ko
Jagjit Singh,Woh Khat Ke Purze Udaa Raha Tha
Jagjit Singh,Koi Yeh Kaise Bataye
Jagjit Singh,Teri Berukhi
Jagjit Singh,Tum Itna Jo Muskura Rahe Ho
Jagjit Singh,Hothon Se Chhulo Tum
Jagjit Singh,Jhuki Jhuki Si Nazar
Mithoon,Zaroorat
Roop Kumar Rathod,Maula Mere Maula
Noor Chahal,Woh lamhe - cover
Hariharan,Sun Ri Sakhi
Hariharan,Ay Hairathe
Hariharan,Chanda Re Chanda Re
Harihararan,Hai Rama
Hariharan,Conversation (More Ghar)
Ritviz,Udd Gaye
Ritviz,Barso
Ritviz,Sage
AR Rahman,Mausam And Escape
AR Rahman,Ringa Ringa
AR Rahman,Latika's Theme
Oh Wonder,The Rain
Oh Wonder,Dazzle
