../music/parikrama	,Agnee,, Parikrama,, Shilpa Rao (Parikrama) _ I Believe.mp3,	parikrama	,Agnee,, Parikrama,, Shilpa Rao (Parikrama),	 I Believe	jazz-rock	[jazz-rock]
../music/ajoyChokroborty	,Ajoy Chakraborthy,, Parveen Sultana (Uttam Singh) {Anand Baksh} _ Aan Milo Sajna.mp3,	ajoy Chokroborty	,Ajoy Chakraborthy,, Parveen Sultana (Uttam Singh) {Anand Baksh},	 Aan Milo Sajna	NO TRACK	[NO TRACK]
../music/ajoyChokroborty	Ajoy Chakraborty _ Eri Aali Piya Bin - Raag Yaman.mp3	ajoy Chokroborty	Ajoy Chakraborty	 Eri Aali Piya Bin - Raag Yaman	NO TRACK	[NO TRACK]
../music/ajoyChokroborty	Ajoy Chokroborty _ Badra Re Tu.mp3	ajoy Chokroborty	Ajoy Chokroborty	 Badra Re Tu	NO TRACK	[NO TRACK]
../music/ajoyChokroborty	Ajoy Chokroborty _ Khelun Piya Sang Hori.mp3	ajoy Chokroborty	Ajoy Chokroborty	 Khelun Piya Sang Hori	NO TRACK	[NO TRACK]
../music/honeysuckle	Akhilbandhu Ghosh _ Tomar Bhubone Phuler Mela.mp3	honeysuckle	Akhilbandhu Ghosh	 Tomar Bhubone Phuler Mela	NO ALBUM	[NO ALBUM]
../music/alec	Alec Benjamin _ Mind Is A Prison.mp3	alec	Alec Benjamin	 Mind Is A Prison	pop	,[pop,,singer-songwriter,,Favorite,,teen pop,,linedance 2019],
../music/alec	Alec Benjamin _ Let Me Down Slowly.mp3	alec	Alec Benjamin	 Let Me Down Slowly	pop	,[pop,,2010s,,2019,,alec benjamin],
../music/alec	Alec Benjamin _ Paper Crown.mp3	alec	Alec Benjamin	 Paper Crown	pop	,[pop,,singer-songwriter,,teen pop],
../music/harryPotter	Alexandre Desplat _ Lily's Theme.mp3	harry Potter	Alexandre Desplat	 Lily's Theme	Soundtrack	,[Soundtrack,,harry potter,,Classical,,emotional,,instrumental],
../music/honeysuckle	Alexis Ffrench _ Reborn.mp3	honeysuckle	Alexis Ffrench	 Reborn	NO ALBUM	[NO ALBUM]
../music/bops	,Alka Yagnik,, Ila Arun (Laxmikant-Pyarelal) _ Choli Ke Peeche Kya Hai.mp3,	bops	,Alka Yagnik,, Ila Arun (Laxmikant-Pyarelal),	 Choli Ke Peeche Kya Hai	NO ALBUM	[NO ALBUM]
../music/taal	,Alka Yagnik,, Udit Narayan (AR Rahman) {ANand Bakshi} _ Taal Se Taal.mp3,	taal	,Alka Yagnik,, Udit Narayan (AR Rahman) {ANand Bakshi},	 Taal Se Taal	NO ALBUM	[NO ALBUM]
../music/emo	Alma Ferovic _ Tu Koi Aur Hai.mp3	emo	Alma Ferovic	 Tu Koi Aur Hai	NO ALBUM	[NO ALBUM]
../music/aloknandaDasgupta	Alokananda Dasgupta _ Escape.mp3	aloknanda Dasgupta	Alokananda Dasgupta	 Escape	NO TRACK	[NO TRACK]
../music/aloknandaDasgupta	Alokananda Dasgupta _ Sacred Games Background Score - Suspense.mp3	aloknanda Dasgupta	Alokananda Dasgupta	 Sacred Games Background Score - Suspense	NO ALBUM	[NO ALBUM]
../music/aloknandaDasgupta	Alokananda Dasgupta _ Tope Theme.mp3	aloknanda Dasgupta	Alokananda Dasgupta	 Tope Theme	NO TRACK	[NO TRACK]
../music/aloknandaDasgupta	Alokananda Dasgupta _ I Am Trapped .mp3	aloknanda Dasgupta	Alokananda Dasgupta	 I Am Trapped	NO TRACK	[NO TRACK]
../music/honeysuckle	,Altamash Faridi (Rochak Kohli) {Gautam G Sharma,, Gurpreet Saini} _ Bheege Mann.mp3,	honeysuckle	,Altamash Faridi (Rochak Kohli) {Gautam G Sharma,, Gurpreet Saini},	 Bheege Mann	NO ALBUM	[NO ALBUM]
../music/aman	Aman _ Khwab (P.N.D.A's remix).mp3	aman	Aman	 Khwab (P.N.D.A's remix)	NO TRACK	[NO TRACK]
../music/aman	Aman _ Abh Mera Kaha Thikana.mp3	aman	Aman	 Abh Mera Kaha Thikana	NO TRACK	[NO TRACK]
../music/aman	Aman _ Bombay aur Baarish.mp3	aman	Aman	 Bombay aur Baarish	NO TRACK	[NO TRACK]
../music/aman	,Aman,, Advait _ Tu Hai Kahaan.mp3,	aman	,Aman,, Advait,	 Tu Hai Kahaan	NO TRACK	[NO TRACK]
../music/aman	,Aman,, Advait _ Dil Ko Kaise Samjhau.mp3,	aman	,Aman,, Advait,	 Dil Ko Kaise Samjhau	NO TRACK	[NO TRACK]
../music/amberRun	Amber Run _ Worship .mp3	amber Run	Amber Run	 Worship	british	,[british,,Reflective,,deep,,fav,,2015],
../music/amberRun	Amber Run _ 5AM.mp3	amber Run	Amber Run	 5AM	teen wolf	,[teen wolf,,Soundtrack,,indie,,british,,alternative],
../music/amberRun	Amber Run _ I Found.mp3	amber Run	Amber Run	 I Found	NO ALBUM	[NO ALBUM]
../music/unsorted	America _ A Horse With No Name.mp3	unsorted	America	 A Horse With No Name	classic rock	,[classic rock,,70s,,rock,,soft rock,,folk],
../music/bops	America _ A Horse With No Name.mp3	bops	America	 A Horse With No Name	classic rock	,[classic rock,,70s,,rock,,soft rock,,folk],
../music/enVivo	Amin Toofani _ La Flamenca.mp3	en Vivo	Amin Toofani	 La Flamenca	NO ALBUM	[NO ALBUM]
../music/enVivo	Amin Toofani _ El Monte Claro.mp3	en Vivo	Amin Toofani	 El Monte Claro	NO ALBUM	[NO ALBUM]
../music/honeysuckle	,Amit Mishra,, Neeti Mohan (Rochak Kohli) {Adheesh Verma} _ Meer-E-Kaarwan.mp3,	honeysuckle	,Amit Mishra,, Neeti Mohan (Rochak Kohli) {Adheesh Verma},	 Meer-E-Kaarwan	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ London Thumakda.mp3	queen	Amit Trivedi	 London Thumakda	rock	,[rock,,folk rock,,indian rock],
../music/queen	Amit Trivedi _ Hungama.mp3	queen	Amit Trivedi	 Hungama	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Gujariya.mp3	queen	Amit Trivedi	 Gujariya	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Harjaiyaan.mp3	queen	Amit Trivedi	 Harjaiyaan	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Kinare.mp3	queen	Amit Trivedi	 Kinare	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Ranjha.mp3	queen	Amit Trivedi	 Ranjha	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Taake Jhanke.mp3	queen	Amit Trivedi	 Taake Jhanke	NO ALBUM	[NO ALBUM]
../music/queen	Amit Trivedi _ Badra Bahaar.mp3	queen	Amit Trivedi	 Badra Bahaar	NO ALBUM	[NO ALBUM]
../music/amitTrivedi	Amit Trivedi _ Haminastu.mp3	amit Trivedi	Amit Trivedi	 Haminastu	NO ALBUM	[NO ALBUM]
../music/amitTrivedi	Amit Trivedi _ Shaam.mp3	amit Trivedi	Amit Trivedi	 Shaam	NO ALBUM	[NO ALBUM]
../music/amitTrivedi	Amit Trivedi {Amitabh Bhattacharya} _ Saali khushi.mp3	amit Trivedi	Amit Trivedi {Amitabh Bhattacharya}	 Saali khushi	NO ALBUM	[NO ALBUM]
../music/amitTrivedi	,Amit Trivedi,, Mame Khan _ Chaudhary.mp3,	amit Trivedi	,Amit Trivedi,, Mame Khan,	 Chaudhary	Soundtrack	[Soundtrack]
../music/kaiPoChe	,Amit Trivedi,, Mohan Kanan (Amit Trivedi) {Swanand Kirkire} _ Manjha.mp3,	kai PoChe	,Amit Trivedi,, Mohan Kanan (Amit Trivedi) {Swanand Kirkire},	 Manjha	NO ALBUM	[NO ALBUM]
../music/amitTrivedi	,Amit Trivedi,, Shilpa Rao,, Nikhil D'Souza (Amit Trivedi) {Amitabh Bhattacharya} _ Gubbare.mp3,	amit Trivedi	,Amit Trivedi,, Shilpa Rao,, Nikhil D'Souza (Amit Trivedi) {Amitabh Bhattacharya},	 Gubbare	NO ALBUM	[NO ALBUM]
