folder,file,album,artist,title
"../music/satinathMukherjee","Satinath Mukherjee _ Maramiya Tumi Chole Gele.mp3","satinath Mukherjee","Satinath Mukherjee", "Maramiya Tumi Chole Gele"
"../music/satinathMukherjee","Satinath Mukherjee _ Sonar Hate Sonar Kankon.mp3","satinath Mukherjee","Satinath Mukherjee", "Sonar Hate Sonar Kankon"
"../music/danish","Danish Pratap Sood _ Fly Me To The Moon - cover.mp3","danish","Danish Pratap Sood", "Fly Me To The Moon - cover"
"../music/danish","Danish Pratap Sood _ Floated By - cover.mp3","danish","Danish Pratap Sood", "Floated By - cover"
"../music/sugar","Sufjan Stevens _ Video Game.mp3","sugar","Sufjan Stevens", "Video Game"
"../music/sugar","Sufjan Stevens _ Sugar.mp3","sugar","Sufjan Stevens", "Sugar"
"../music/sugar","Sufjan Stevens _ America.mp3","sugar","Sufjan Stevens", "America"
"../music/farhatTarannum","Farhat Tarannum _ Oliro Kotha Shune - cover.mp3","farhat Tarannum","Farhat Tarannum", "Oliro Kotha Shune - cover"
"../music/farhatTarannum","Farhat Tarannum _ Kabhi Kabhi Mere Dil Mein - cover.mp3","farhat Tarannum","Farhat Tarannum", "Kabhi Kabhi Mere Dil Mein - cover"
"../music/farhatTarannum","Farhat Tarannum _ Bhalobeshe Shokhi - cover.mp3","farhat Tarannum","Farhat Tarannum", "Bhalobeshe Shokhi - cover"
"../music/farhatTarannum","Farhat Tarannum _ O Je Maane Na Maana - cover.mp3","farhat Tarannum","Farhat Tarannum", "O Je Maane Na Maana - cover"
"../music/anime","Yutaka Yamada _ Death Note Suite.mp3","anime","Yutaka Yamada", "Death Note Suite"
"../music/anime","Toby Fox _ Undertale: Megalovania.mp3","anime","Toby Fox", "Undertale: Megalovania"
"../music/anime","Toshio Masuda _ Naruto: Sadness and Sorrow.mp3","anime","Toshio Masuda", "Naruto: Sadness and Sorrow"
"../music/vs42","Vaibhav Bundhoo, Jankee Parekh (VS42) _ Andhe.mp3","vs42","Vaibhav Bundhoo, Jankee Parekh (VS42)", "Andhe"
"../music/vs42","Vaibhav Bundhoo (VS42) _ They Ran Away.mp3","vs42","Vaibhav Bundhoo (VS42)", "They Ran Away"
"../music/vs42","Vaibhav Bundhoo, Nirali Karthik (VS42) _ Adhoori Dhun.mp3","vs42","Vaibhav Bundhoo, Nirali Karthik (VS42)", "Adhoori Dhun"
"../music/vs42","Vaibhav Bundhoo (VS42) _ Mere Sapno.mp3","vs42","Vaibhav Bundhoo (VS42)", "Mere Sapno"
"../music/udtaPunjab","Vishal Dadlani, Amit Trivedi (Amit Trivedi) {Varun Grover} _ Ud Da Punjab.mp3","udta Punjab","Vishal Dadlani, Amit Trivedi (Amit Trivedi) {Varun Grover}", "Ud Da Punjab"
"../music/udtaPunjab","Kanika Kapoor, Babu Haabi (Amit Trivedi) {Shellee} _ Da Da Dasse.mp3","udta Punjab","Kanika Kapoor, Babu Haabi (Amit Trivedi) {Shellee}", "Da Da Dasse"
"../music/udtaPunjab","Babu Haabi, Shahid Mallya, Bhanu Prtap (Amit Trivedi) {Shellee} _ Chitta Ve.mp3","udta Punjab","Babu Haabi, Shahid Mallya, Bhanu Prtap (Amit Trivedi) {Shellee}", "Chitta Ve"
"../music/udtaPunjab","Shahid Mallya (Amit Trivedi) {Shiv Kumar Batalvi} [Amit Trivedi] _ Ikk Kudi.mp3","udta Punjab","Shahid Mallya (Amit Trivedi) {Shiv Kumar Batalvi} [Amit Trivedi]", "Ikk Kudi"
"../music/jal","Jal The Band _ Sajni.mp3","jal","Jal The Band", "Sajni"
"../music/jal","Atif Aslam _ Jaane De.mp3","jal","Atif Aslam", "Jaane De"
"../music/jal","Atif Aslam _ Sehmi hai dhadkan.mp3","jal","Atif Aslam", "Sehmi hai dhadkan"
"../music/jal","Jal The Band _ Bikhra hoon Main.mp3","jal","Jal The Band", "Bikhra hoon Main"
"../music/jal","Jal The Band _ Jal Pari.mp3","jal","Jal The Band", "Jal Pari"
