13.0.0.0.1%math rock
La de da de da%szanty edm
Might Quit%szanty edm
Vazeer e azam%anarcho-punk rock
Bunnayn-za%anarcho-punk rock
Jiggernaut%anarcho-punk rock
Mojambo%anarcho-punk rock
My Punjabi Love for you%anarcho-punk rock
Fergalicious%rap bebop beatboxing glam
London Bridge%wave rap bebop
Shut Up%bebop emo trap plunderphonics
Bombay Theme%experimental carnatic 8-bit
Uyire Uyire%romantico experimental carnatic
Kehna Hi Kya%experimental
Tu Hi Re(The Unwind Mix)%romantico experimental carnatic
Ek Ho Gaye Hum Aur Tum%experimental hip-hop
Azad%abstractro arabesque symphonic ouroboros
Tilak%abstractro arabesque symphonic ouroboros
Bandar Baant%folk qawalli plunderphonics
Choli Ke Peeche Kya Hai%folk orchestral bubblegum
A Horse With No Name%mellow cowboy country
Mere Angne%norske plunderphonics
Tamma Tamma%disco chamber
Jaane Bhi Do Yaaro%groove underground edm
Jawani Janeman Haseen Dilruba%disco zither
Rappan Rappi Rap%disco rap hula
One Way Or Another%bebop industrial rock hi-nrg
Bodak Yellow%rap
This Dot%experimental edm plunderphonics
Pumped up Kicks%concertina jazz bebop
Party With The Bhoothnath%bebop rap
Breathless%vocaloid rhythm xenharmonic plunderphonics carnatic rap
Flamingo%flava funk kawaai bebop
Macarena%latino tap  jig
Tinku Jiya%bubblegum erotica truck-driving bebop
Jibone Ki Paabo Na%bubblegum bebop swing flava
Tamanche Pe Disco%cowbay club disco
No one lives forever%funk rock
Lollypop Lagelu%truck-driving folk funk
Maa Ka Phone%szanty plunderphonics edm
It's The Hard Knock Life%bedroom broadway bebop  hi-nrg
Prem Rosika Hobo Kemone%tropicalia trikiti folk
Mr Sandman%flava rumba
Like A Boss%meme rap eclectonia
Dilli%progressivo rock
Riptide%folk acoustmatic
The Fox%plunderphincs bebop
Bite The Hand%chamber emo rock
Salt In The Wound%chamber emo rock
The Night We Met%chamber emo rock
Motion Sickness%chamber emo rock
Criminal%pop techno
Toxic%wave hauntology rave pop
Bridges%duo psy hip-hop eclectonica
Heartlines%duo psy hip-hop eclectonica
Never Gonna Change%duo psy hip-hop eclectonica
Une Barque Sur L'océan%meloncholia melodica symphonic
Lady, Lady, Lady%synth pop ballad
Hallelujah Junction (1st Movement)%ballet
M.A.Y In The Backyard%symphonix kawaai rhythm 8-bit
Futile Devices Doveman Remix%acousmatic alley romantico
Mystery Of Love%romanticism  religieux erotica baroque
Visions of Gideon%melancholia ouroboros synth 8-bit
Love My Way%psychedelic wave punk rock
cappricio guitar%acousmatic harmony
All Of Me Wants All Of You%folk experimental synth
Blue Bucket of Gold%folk experimental synth
Carrie & Lowell%folk experimental synth
Death With Dignity%folk experimental synth
Drawn To The Blood%folk experimental synth
Eugene%folk experimental synth
Fourth Of July%folk experimental synth
John My Beloved%folk experimental synth
No Shade in the Shadow of the Cross%folk experimental synth
Should Have Known Better%folk experimental synth
Affection%dreamgaze pop
Apocalypse%dreamgaze pop
Soney Do%dark wave emo futurismo
Ek Charraiya%dark wave
Life in Technicolor%alternative abstractro
The Scientist%alternative bedroom
Viva La Vida%alternative rock epic
Hollywood%anarcho-punk rock
Linger%anarcho-punk rock
When You're Gone%anarcho-punk rock
Zombie%anarcho-punk rock
Steady Waves%alternative rock 8d
The Depths%alternative rock 8d
Floated By - cover%roll
Fly Me To The Moon - cover%roll
A Death in the Gunj%ambient folk noir
Into the Gunj%ambient folk noir
Kabaddi%ambient folk noir
Planchette%ambient folk noir
Shutu's Pain%ambient folk noir
The Sweater%ambient folk noir
Rehna Tu%folk rock arabesque
Arziyan%qawaali
Masakali%folk rock arabesque
Genda Phool%folk baithak rhythm
Switti Switti%pashto hip-hop
Nakkadwaley Disco, Udhaarwaley Khisko%sufi baithak plunderphonics
DK Bose%plunderphonics street rap
Emosaonal Atyachar -  Brass Band%plunderphonics rhythm blues
Pardesi%flava fuzz pop fusion
Jiya Jale - Kurvalikiliye%carnatic experimental ambeat
Jiya Jale%carnatic experimental ambeat
Satrangi Re%experimental rhythm symphoniv=c
E Ajnabi Tu Bhi Kabhi%trance romanticism dissonant
Bliss Quest%math rock
There's no 'I' in Time%math rock
Whatever, Whenever%math rock
Yaad Aa Raha Hai%disco funk pop
Koi Yahan Aha Nache Nache%disco
Jimmi Jimmi Jimmi%disco
I Am A Disco Dancer%disco
Doom Patrol Main Titles%emo abstractro 8d
Home Pt 2 (It's Time To Go Home)%emo blues
Busy in Beige%hula kawaai fuzz
Normal Things%hula kawaai fuzz
Beautiful%rap
Lose Yourself%alternative rock pop
Mockingbird%rap
Stan%rap
Hand Crushed by a Mallet%experimental industrial bubblegum bass
Na Kaho%arabesque rock dreamgaze
Junoon%rock arabesque symphonic
Kill the Pain%hammered metal
Runnin%eclectonica grime pop
Skyfall%orchestral symphonic rock
Awari%dissonant trap tehno fusion
Hit Me With Your Best Shot%emo vapour hauntology
Tu Koi Aur Hai%fuzz folk lullaby
Inayat%theremin sufi rock
Fighting For A Lost Cause%gothic progressivo rock
Goodbye%ambient eletronica glitch techno pop
Aji Jharo Jharo%robindro-songeet
Do I Wanna Know%garage rock permanent wave
Jugni%sufi thermin
Khoon Choosle%weirdcore wrestling plunderphonics
Eka Beche Thakte Shekho Priyo%mellow melancholia
My Happy Ending%glam emo rock
Run%alternative stomp rock
Doom Days%tropicalia rock
Ek Akela Is Shaher Mein%alley ghazal
Jóga%8-bit abstractro ambient symphonic
I Miss You%ambeat 8-bit rhythm
For the Damaged Coda%eclectonica psy spytrack acid
Let Sleeping Corpses Lie%psychedelic doom metal
Memories%rap pop  emo
It's ok, You're ok%8-bit abstractro ambient symphonic
Pain breaks the Rythm%dissonant 8d blues metal
Joke's On You%emo vapour 8d
Letters From the Sky%ballad symphonic
This side of paradise%synth pop pixie rock
Black ft. Norah Jones%abstractro emo dissonant
Breaking Bad Theme%dissonant vapor trap
J.D. Blows Up%orchestral 8-bit 8d trance
Lazy%blues rock metal
Jolene%country ballad
Mirage%trance trap psy metal
Arcade%pixie synth
Nibhana%alternative progressivo rock
Saajna%synth slush romantico blues
Mary Magdalene%electro folk relegieux ouroboros
Immersion%math metal
Achilles Come Down%orchestral noir neo relegiuex emo rock
Not Your Kind Of People%mallet nu rock industrial twitch
Somebody That I Used To Know%fuzz electro pop
Oblivion%electro escape wave
goner%emo trap rap fuzz
Knockin' On Heaven's Door%glam metal
Ash Again%rock blues 8d
One%mellow pop rock
Clouds in Cloudless Skies%8-bit 8d ai ambeat
Good Things Fall Apart%melodica dup tropicalia pop
Hide And Seek%ethereal pop 8d
Rainspell%symphonic 8-bit 8d abstractro ambeat hauntology
Spiraling%emo progressivo  rock
I'd Love to Change the World%baritone trap thrash
I Hate Myself for Loving You%glam punk rock
If God Was One Of Us%techno glam pop
Hurt%country meloncholia
Line of fire%rock blues moorish
Kaghaz Ka Jahaz%arabesque rhythm tap
Mirzapur Intro theme - cover%experimental trap 8d
jao pakhi bolo tare%folk classical fusion ballad
Black Dog%rock swing
Below%futuristic 8d mellow trap
Mega Ghost%experimental noise rock
May Failure be Your Noose%industrial folk metal
Elephants and Little Girls%norse weightless wave
Baadalon ki Gehrai%weightless noir lullaby fuzz
Bubblegum B!tch%rhythm glam rock
Everybody Gets High%trap electro neo
Inside Out%noir pop
Rhapsody in Green%psychedelic synth lullaby
God Was Never on Your Side%alternative speed rock
Jochhona Korechhe Ari%baithak ghazal romanticism
Kill All Your Friends%emo punk rock
Closer%8-bit 8d pixie
No One's Here To Sleep%rhythm blues tropicalia
Blue Monday%wave pop disco
Sun Down%melodeath
O Kolonkini Radha%folk noir orchestral
Shukriya%8-bit norse fuzz experimental folk
Raah Piya%hindustani pop renaissance romantico
The song of the world's last whale%norse steady avant-garde
This is the Picture%ai dissonant bubblegum wave
I Fall Apart%rap melodica
Human%neo nu rock
Ami Kaan Pete Roi%classical dhrupad balled
Vibrations on a String%ambient electro eclectonia
Silence Means Nothing%thrash metal
Fare Thee Well%acoustic vocaloid rock
Fairly odd Parents%tap rhythm
Jaanam Fida-e-Haideri%arabesque neo religieux
Rani Sa%experimental trap
Cotton Candy Skies%romantico acoustic blues
Hard Time%soul electro pop
Mann Jaage%sufi rhythm pop
Kisay Da Yar - Pepsi Battle of the Bands Season 2%arabesque metal
Mar Jawaan%sufi emo ouroboros
Sajna%pashto pop
The End of the World%ballad
Ember%acousmatic ouroboros
Ship in a Bottle%8-bit techno rock
Bezubaan - The Audio Film Project%experimental sufi fusion rock
ily%tropicalia roll pop
Come Down%ethereal ouroboros
Duti Pakhi Duti Teere%ghazal romanticism
Kajal Nadir Jale%rhythm blues
Tumbling Lights%acid trance escape nu
Angel With A Shotgun%pop rock
Humans%rock roll jig neo soul
Turn Into Earth%psychadelic rock symphonic
Analyse%eclectonica 8-bit synth
With Or Without You%wave rock
Drowning In Sorrows%acoustic rock
Tamanna%acoustic religieux arabesque rock
Without A Word%alternative pop fuzz
Time Of The Season%bubblegum folk rock
El Monte Claro%8d 8bit speed symphonic
La Flamenca%8d 8bit speed symphonic
Maeri%pashto pop rock
Jiya Jaye Na%romantico rock
Bring Me To Life%grime metal
Taking Over Me%ouroboros metal
Brother did you Weep%celtic folk
The Manchester Rambler%pirate szanty
Bhalobeshe Shokhi - cover%robindro-songeet
Kabhi Kabhi Mere Dil Mein - cover%capella dreamgaze arabesque balled
O Je Maane Na Maana - cover%robindro-songeet
Oliro Kotha Shune - cover%robindro-songeet
Big Love%rhythm szanty rock
The Chain%rhythm szanty rock
Hurts Like Hell%hammered fuzz euphonium
You're Somebody Else%synth pop harmony ouroboros
Father's Sins (Slowed + Reverb) Lofi%hammered fuzz euphonium
I Wasted You (Slowed + Reverb) Lofi%hammered fuzz euphonium
Love Is In The Small Things (Slowed + Reverb) Lofi%hammered fuzz euphonium
Dog Days Are Over%baroque pop tap rhythm
No light, no light%baroque pop stomp
Ship To Wreck%baroque pop holler grunge
American Beauty%grunge electro pop
Centuries%emo rock
Immortals%fantasy rock pop
Diving with My Harpoon%zenonesque weightless waltz
Flirting at the Masquerade%waltz symphonic
Slow Day%waltz xenharmonic violao
Karle Jugaad Karle%street pashto plunderphonics
Ambarsariya%folk fusion pop
My Mistake%emo neo mellow teen-pop
Start of Time%emo neo mellow teen-pop
Kyun Hai%sufi edm
Mann Mera%sufi rock
Mera Jahan%sufi pop ouroboros
Tune Mere Jana%emo teen-pop
O Womaniya%folk szanty
Jiya Tu Bihar Ke Lala%folk truck-driving whitle
Jholu Ram%rock roll plunderphonics
Ghanchakkar Babu%rock roll plunderphonics
Allah Meherbaan%rock roll sufi
Lazy Lad%rock roll erotica
Pyar kabhi ik Tarfa hota hai na Hoga%poezija
Uski Gali%poezija
Ye Khel Aankhir Kisliye%poezija
Sun Ri Sakhi%carnatic ghazal fusion experimental
Conversation (More Ghar)%carnatic arabesque symphonic psychedelic melodica
Ay Hairathe%sufi romantico
Chanda Re Chanda Re%carnatic romantico fusion
Hai Rama%sufi ghazal fusion progressivo
Rangi Saari + Kesariya%sufi hindustani fusion folk
Chait maas bole le koyaliya%hindustani dhrupad folk fusion
High on Five ~ Khanda Jati%folk fusion theremin symphonic percussion
Tu Mane Ya Na Mane - Coke Studio  India Season 1%baithak ghazal romantico
End Title%experimental melodica symphonic orchestral
Man Mauj Mein - Part 1%experimental melodica symphonic orchestral 8d
Man Mauj Mein - Part 2%experimental melodica symphonic orchestral 8d
Opening Title%experimental melodica symphonic orchestral
Floating Circles%experimental melodica symphonic orchestral vocaloid folk
Rainmaker%experimental melodica symphonic orchestral folk
Wakeup Jungle%experimental melodica symphonic orchestral percussion
Sunset Malkauns%experimental melodica symphonic orchestral
Lily's Theme%xenharmonic melodica mellow
A Window To The Past%xenharmonic melodica mellow
Malfoy's Mission%xenharmonic melodica mellow
uwu%kawaai romantico
Tum Mile Dil Khile - cover%techno romantico carnatic fusion
Sahiba%pashto fusion pop
Saaluthillave%romantico ghazal fusion pop
Aaradhike%romantico carnatic pop
Malare%carnatic arabesque melodica
Aashiqui Mein Teri%trikiti techno arabesque edm
Aye Meri Zohrajabeen%progressivo rock
Jhalak Dikhla Ja%trikiti techno sufi edm
I Like It When You Love Me (Home Tapes Video)%electro pop
Lonely Star%electro pop
Tomar Bhubone Phuler Mela%fuzz hindustani romantico mellow
Reborn%epic 8-bit synth
Bheege Mann%mellow pop
Meer-E-Kaarwan%sufi rock
Snowball%lo-fi jazz synth
Returning%8-bit pixie electro zenonesque
Forest Fire%bedroom acousmatic wave
Honey Jars%eugene euphonium mellow acousmatic
The First Cut Is the Deepest%mellow rock
We Don't Talk Anymore%teen-pop
Kaathalae Kaathalae%arabesque fusion experimental chamber
Rockabye%tropicalia rap pop
at TedX Budapest%beatboxing melodica symphonic
Udh Chaliye%pashto hip hop
Dooriyan%pop rap symphonic
Looking for Knives%experimental trap mellow trallalero
Ropa De Bazar%trikiti tropicalia mellow tavern
I Won't Dance%tap euphonium melodica
Outside With The Cuties%kawaai romantico street bubblegum
Daydream By Design%alternative pop fuzz
Halo%rhythm pop holler
Eyes - Edit%abstractro dub symphonic fusion
If the World Was Ending - cover%acousmatic romantico fuzz
Rangiye Diye Jao%hindustani classical melodica
You're Only Lonely%folk mellow country pop
Nocturnal Waltz%neo classical symphonic 8d
Saiyyan%arabesque rock mellow
Falling In Love At A Coffee Shop%acousmatic neo mellow pop
Pyaar kiya to darna Kya%hindustani renaissance
Lag Jaa Gale%dhrupad baithak ballet
Telilit%arabesque melodica mellow violoa folk
Starry Starry Night%neo soul
You Don't Know Me%soul vocaloid
Neon%electro pop dissonant
wishing u well%futurismo soul fuzz
For Aisha%electro futurismo trap
The Dickhead Song%country jig
Starlight%alternative wave rock
Stairway To Heaven%cloud synth zenonesque
Intezaar%lo-fi zenonesque sufi hip-hop
Strange Land (Live) Acoustic Sessions%acousmatic rhythm blues twitch
Naino Ke Ishaare%hindustani romantico pop
Love Brought Weight%stomp folk alternative rock chamber
Cet Amour Me Tue%dissonant classical chamber 8d vocaloid
Washing Of The Water%mellow wave rock
Dreaming of Fiji%ambient classical pixie 8-bit
All We Know%tropical edm pop
Tonight I Sleep%baroque pixie ambient
Hai Zaroori - 1st verse%bedroom pop
Nindiya Na Aaye%dhrupad ballad
Sufi%romantico sufi
Reborn%epic 8-bit symphonic 8d
Solari%ambient anime 8d symphonic
Safarnama%sufi pixie pop
Chinese New Year%garage pixie rock
E Gaane Prajapati%ballet capella
Galliyan%acousmatic pop
Snowfall%synth bedroom lullaby
Mystic Trip to Al-Dzazir%psychadelic jazz rscape jig hula edm
Naina%pop sufi
Taniye%baroque carnatic progressivo
Ladies and Gentlemen We Are Floating in Space%freak noise folk alternative ouroboros synth
Fragile%eclectonia wave folk moorish
Where's My Love%alternative rock pop
Dumb Ways to Die%bubblegum acousmatic
Kya Tum Naraaz Ho - raw%ambient romantico vocaloid pixie
Khush%rap melodica
Weird Circles%math rock
Woodland%folk rock
Muesli%shaabi rock
Last Dance%kawaai tango rune chamber
Brooks Was Here%symphonic orchestral 8d noir
Two Moons%synth symphonic alpine
There's No Business Like Show Business%eclectonia
Mujhe Teri%pop romantico
Linus and Lucy%jazz rumba
Illuminate%progressivo noir rock wave
Astrid Goes For A Spin%orchestral epic 8d
Battling The Green Death%orchestral epic 8d
Coming Back Around%orchestral epic 8d
Counter Attack%orchestral epic 8d
Dragon Battle%orchestral epic 8d
Dragon Training%orchestral epic 8d
Dragon's Den%orchestral epic 8d
Focus, Hiccup!%orchestral epic 8d
Forbidden Friendship%orchestral epic 8d
New Tail%orchestral epic 8d
Not So Fireproof%orchestral epic 8d
Ready The Ships%orchestral epic 8d
See You Tomorrow%orchestral epic 8d
Sticks & Stones%orchestral epic 8d
The Cove%orchestral epic 8d
The Downed Dragon%orchestral epic 8d
The Dragon Book%orchestral epic 8d
The Kill Ring%orchestral epic 8d
The Vikings Have Their Tea%orchestral epic 8d
This Is Berk%orchestral epic 8d
This Time For Sure%orchestral epic 8d
Where's Hiccup%orchestral epic 8d
Wounded%orchestral epic 8d
Almost%soul folk blues religieux fusion
As It Was%soul folk blues fusion
Cherry Wine%soul folk blues religieux fusion
Like Real People Do%soul folk blues fusion
Movement%soul folk blues religieux fusion
Sunlight%soul folk blues fusion
Take Me To Church%soul folk blues religieux fusion
Talk%soul folk blues religieux fusion
Wasteland, Baby!%soul folk blues fusion
Bad Liar%pop rock
Believer%pop rock
Demons%pop rock
Monster%pop rock
Radioactive%pop rock
Roots%pop rock
Paper Planes%folk fusion lo-fi
Raat%folk fusion lo-fi
Bandheh%anarcho-punk folk rock
Mann Kasturi%folk rock outoboros
Tu Kisi Rail Si%baithak folk sami romanticism
Zindagi Se Darte Ho%anarcho-punk folk rock
Aadu Paambe%carnatic eclectonia alternative metal
EDM Thillana Ananda Bhairavi%carnatic fusion edm
Feeling Good (Indian Mix) Nina Simone Jazz Classics Remix%carnatic jazz fusion
Jaagu Main saari - Maru Bihag%hindustani vocaloid
Jao Jao%hindustani sufi fusion
Piya Se Naina - Desh Thillana Mashup%hindustani orchestral progressivo
Tabla Trap Padhant%percussion carnatic hindustani fusion
Uptown Funk Raga Mix%carnatic fusio nhip-hop
Ibn e Batutta%pashto rock truck-driving djent
Dil Ka Mizaaj Ishqiya%electro folk fusion romantico chamber
Dil To Bachcha Hai%arabesque folk noir
Jagaave Saari Raina%ghazal sami
27 Years Later%symphonic 8d noir neo classical
Beverly%symphonic 8d pixie neo classical
Blood Oath%symphonic 8d noir neo classical
Every 27 Years (Reprise)%symphonic 8d neo classical
Jacob's Waltz%symphoni weightless
Petrichor%symphonic 8d lo-fi melodica
Mariage d'Amour%neo classical
Phir Wahi%twitch pixie pop
Jhumritalaiyya%acousmatic pixie romantico pop
Ullu Ka Pattha%wonky pixie
Musafir%melodica soprano pop
Khaana Khaake%plunderphonics twitch jig bebop
Hosh Walon Ko%tavern ghazal
Hothon Se Chhulo Tum%tavern ghazal
Jhuki Jhuki Si Nazar%tavern ghazal
Koi Yeh Kaise Bataye%tavern ghazal
Teri Berukhi%tavern ghazal
Tum Itna Jo Muskura Rahe Ho%tavern ghazal
Woh Khat Ke Purze Udaa Raha Tha%tavern ghazal poezija
Jaane De%pop sufi
Kuch Is Tarah%blues sufi
Mere Watan%progressivo pashto rock
O Saathi%sufi fusion romantico pop
Old Bollywood Medley%sufi fusion romantico pop
Sehmi hai dhadkan%emo blues sufi rock
Yaad Tehari%sufi baithak
Yakeen%bedroom sufi pop
Bikhra hoon Main%blues sufi rock
Dil Haari%tavern sufi rock
Dil Haray%pop rock melodica pixie
Hamein Itna Pyar%pop rock melodica pixie
Ik Aarzu (Coke Studio Pakistan)%rock melodica arabesque fusion
Jal Pari%mellow rock
Kash Ye Pal%pop rock melodica pixie
More Piya%neo arabesque rock
Sajni%neo arabesque rock emo
Best Fake Smile%pop thrash
Chew On My Heart%neo emo ballad pop
Leon%electro dissonant 8-bit eclectonia neo experimental
Swim Against The Tide%electro dissonant 8-bit eclectonia neo experimental
GOT theme%capella spytrack epic orchestral symphonic vocaloid
Imagine Dragons Mashup%capella epic
Din Shagna Da%pashto romantico folk fusion
Jahaan Tu Chala%neo sufi pop
Kho Gaye Hum Kahan%noir ouroboros romantico pixie
Naina's Theme%synth pixie 8-bit trance
Teri Dastaan%pixie pop
Preet%pashto fusion folk emo pixie
Kaisi Hai Ye Rut%acousmatic lo-fi pixie
Piya Tu Kaahe Rootha Re%pashto arabesque sufi vapor
Aaj Ibaadat%folk romantico religieux
O Rangrez%pashto romantico
Fear & Misery%neo emo lo-fi mellow hip-hop
Run%lo-fi emo progressivo rock
Slow Dancing in the Dark%lo-fi emo mellow hip-hop
A Bad Comedian%experimental classical 8d dark
Call Me Joker%experimental classical 8d dark 8-bit
Confession%experimental classical 8d dark symphonic
Defeated Clown%experimental classical 8d dark violao
Escape from the Train%experimental classical 8d dark spytrack symphonic escape
Hoyt's Office%experimental classical 8d dark violao
Penny Taken to the Hospital%experimental classical 8d dark spytrack symphonic escape violaao
Subway%industrial noise classical orchestral 8d dark trap
Dareeche%sufi mellow rock
Jhoot Hogaa%sufi mellow rock
Mujhay Maaf Karna%sufi mellow rock
Nindiya Re (Coke Studio Pakistan Season 4)%sufi progressivo ouroboros rock
Piya Dekho Na%sufi arabesque progressivo rock
Saahar Milay Gee%sufi pop rock
Baat Unkahi%sufi pop rock
Saiyaan%pashto sufi tavern weightless
Teri Deewani%pashto cloud sufi
Chaandan Mein%pashto folk sufi
Kaisi Hai Ye Udaasi%sufi fusion noir
Manjha%experimental folk fusion baraoque rock
Shubhaarambh%folk bebop plunderphonics
Raat ke Dhai Baje%folk disco twitch
Dhan Te Nan%trallalero disco plunderphonics pashto fusion
Kaminey%progressivo rock ouroboros
Gum Huye Hum%pixie romantico edm
Thehra%lo-fi ballad
Rangi Saari%hindustani fusion
Harmonious tabla groove%percussion 8-bit
Coffin Dance - cover%percussion orchestral meme
Game of Thrones Theme - cover%epic percussion space
Butterfly Effect%electro fusion experimental industrial hindustani
Liberation%electro fusion experimental industrial hindustani
Milan%electro fusion experimental industrial hindustani
Shyam%electro fusion experimental industrial hindustani
The Gentleman%synth pixie 8-bit vocaloid
Pal Wahi Hai%rap progressivo carnatic fusion rock
The Dark Side of the GentleMan%synth pixie 8-bit vocaloid dark orchestral
Birds%8-bit pixie emo pixie
King of Shadow%8d 8-bit dissonant glam
Make U Say%mellow pixie pop
Wild Poppies%melow pixie electro
Anguish%xenharmonic symphonic vapor wave edm
Dreams Become Real%xenharmonic symphonic vapor wave edm
Heavy Heart%xenharmonic symphonic vapor wave edm
Perspectives%xenharmonic symphonic vapor wave edm
Summer Day%xenharmonic symphonic vapor wave edm
A World Of Stylish Designs%xenharmonic symphonic vapor
Stuff We Did%xenharmonic symphonic vapor
Dying Moon%symphonic speed
City of Stars - cover%synth mellow melodica
If%dissonant dark 8-bit emo
If I gave you my heart%dissonant dark 8-bit emo
Girl in the Room%dissonant dark 8-bit emo
The Pioneers - M83 Remix%orchestral 8d 8-bit psy trance
Body In Water%experimental embient synth mellow wave
Letter%experimental embient synth mellow wave
Self Defence%experimental embient synth wave
The Murder%experimental embient synth dark wave
